country,value,region,CODE,shuoming,title
Iceland,0.881,2015年性别差异指数,ISL,总结：这个图显示的是2015年的性别差异指数，指数越接近1就表示差异越小，越接近0则差异越大，深色区则是男女差异较大的区域。由图可以看到，男女差异较大的区域主要集中在中亚和非洲地区。而也门的值最低为0.484是男女差异最大的国家，冰岛则以0.881的数值成为男女差异最小的国家。从整体来看15年到18年的性格差异指数变化较小，世界的平均水平维持在0.695左右。,2015年的性别差异指数（平均值为0.695）
Finland,0.85,2015年性别差异指数,FIN,总结：这个图显示的是2015年的性别差异指数，指数越接近1就表示差异越小，越接近0则差异越大，深色区则是男女差异较大的区域。由图可以看到，男女差异较大的区域主要集中在中亚和非洲地区。而也门的值最低为0.484是男女差异最大的国家，冰岛则以0.881的数值成为男女差异最小的国家。从整体来看15年到18年的性格差异指数变化较小，世界的平均水平维持在0.695左右。,2015年的性别差异指数（平均值为0.695）
Norway,0.85,2015年性别差异指数,NOR,总结：这个图显示的是2015年的性别差异指数，指数越接近1就表示差异越小，越接近0则差异越大，深色区则是男女差异较大的区域。由图可以看到，男女差异较大的区域主要集中在中亚和非洲地区。而也门的值最低为0.484是男女差异最大的国家，冰岛则以0.881的数值成为男女差异最小的国家。从整体来看15年到18年的性格差异指数变化较小，世界的平均水平维持在0.695左右。,2015年的性别差异指数（平均值为0.695）
Sweden,0.823,2015年性别差异指数,SWE,总结：这个图显示的是2015年的性别差异指数，指数越接近1就表示差异越小，越接近0则差异越大，深色区则是男女差异较大的区域。由图可以看到，男女差异较大的区域主要集中在中亚和非洲地区。而也门的值最低为0.484是男女差异最大的国家，冰岛则以0.881的数值成为男女差异最小的国家。从整体来看15年到18年的性格差异指数变化较小，世界的平均水平维持在0.695左右。,2015年的性别差异指数（平均值为0.695）
Ireland,0.807,2015年性别差异指数,IRL,总结：这个图显示的是2015年的性别差异指数，指数越接近1就表示差异越小，越接近0则差异越大，深色区则是男女差异较大的区域。由图可以看到，男女差异较大的区域主要集中在中亚和非洲地区。而也门的值最低为0.484是男女差异最大的国家，冰岛则以0.881的数值成为男女差异最小的国家。从整体来看15年到18年的性格差异指数变化较小，世界的平均水平维持在0.695左右。,2015年的性别差异指数（平均值为0.695）
Rwanda,0.794,2015年性别差异指数,RWA,总结：这个图显示的是2015年的性别差异指数，指数越接近1就表示差异越小，越接近0则差异越大，深色区则是男女差异较大的区域。由图可以看到，男女差异较大的区域主要集中在中亚和非洲地区。而也门的值最低为0.484是男女差异最大的国家，冰岛则以0.881的数值成为男女差异最小的国家。从整体来看15年到18年的性格差异指数变化较小，世界的平均水平维持在0.695左右。,2015年的性别差异指数（平均值为0.695）
Philippines,0.79,2015年性别差异指数,PHL,总结：这个图显示的是2015年的性别差异指数，指数越接近1就表示差异越小，越接近0则差异越大，深色区则是男女差异较大的区域。由图可以看到，男女差异较大的区域主要集中在中亚和非洲地区。而也门的值最低为0.484是男女差异最大的国家，冰岛则以0.881的数值成为男女差异最小的国家。从整体来看15年到18年的性格差异指数变化较小，世界的平均水平维持在0.695左右。,2015年的性别差异指数（平均值为0.695）
Switzerland,0.785,2015年性别差异指数,CHE,总结：这个图显示的是2015年的性别差异指数，指数越接近1就表示差异越小，越接近0则差异越大，深色区则是男女差异较大的区域。由图可以看到，男女差异较大的区域主要集中在中亚和非洲地区。而也门的值最低为0.484是男女差异最大的国家，冰岛则以0.881的数值成为男女差异最小的国家。从整体来看15年到18年的性格差异指数变化较小，世界的平均水平维持在0.695左右。,2015年的性别差异指数（平均值为0.695）
Slovenia,0.784,2015年性别差异指数,SVN,总结：这个图显示的是2015年的性别差异指数，指数越接近1就表示差异越小，越接近0则差异越大，深色区则是男女差异较大的区域。由图可以看到，男女差异较大的区域主要集中在中亚和非洲地区。而也门的值最低为0.484是男女差异最大的国家，冰岛则以0.881的数值成为男女差异最小的国家。从整体来看15年到18年的性格差异指数变化较小，世界的平均水平维持在0.695左右。,2015年的性别差异指数（平均值为0.695）
New Zealand,0.782,2015年性别差异指数,NZL,总结：这个图显示的是2015年的性别差异指数，指数越接近1就表示差异越小，越接近0则差异越大，深色区则是男女差异较大的区域。由图可以看到，男女差异较大的区域主要集中在中亚和非洲地区。而也门的值最低为0.484是男女差异最大的国家，冰岛则以0.881的数值成为男女差异最小的国家。从整体来看15年到18年的性格差异指数变化较小，世界的平均水平维持在0.695左右。,2015年的性别差异指数（平均值为0.695）
Germany,0.779,2015年性别差异指数,DEU,总结：这个图显示的是2015年的性别差异指数，指数越接近1就表示差异越小，越接近0则差异越大，深色区则是男女差异较大的区域。由图可以看到，男女差异较大的区域主要集中在中亚和非洲地区。而也门的值最低为0.484是男女差异最大的国家，冰岛则以0.881的数值成为男女差异最小的国家。从整体来看15年到18年的性格差异指数变化较小，世界的平均水平维持在0.695左右。,2015年的性别差异指数（平均值为0.695）
